Date,CSCO,SBUX,AMZN,MSFT,AMD,FB,TSLA,ZNGA,QCOM,AAPL
2013-04-11,96.81274900398407,80.0796812749004,95.61752988047809,31.07569721115538,45.81673306772908,,80.87649402390439,12.749003984063744,40.63745019920319,61.354581673306775
2013-04-12,35.45816733067729,66.93227091633466,72.90836653386454,45.0199203187251,43.82470119521912,,63.745019920318725,66.53386454183267,29.8804780876494,5.577689243027889
2013-04-15,10.358565737051793,20.318725099601593,27.09163346613546,61.75298804780876,13.147410358565738,,43.02788844621514,1.1952191235059761,15.936254980079681,5.9760956175298805
2013-04-16,52.98804780876494,80.0796812749004,84.4621513944223,65.73705179282868,70.11952191235059,,86.05577689243027,71.71314741035856,56.57370517928287,91.63346613545816
2013-04-17,7.569721115537849,58.167330677290835,19.52191235059761,51.79282868525896,55.776892430278885,,48.60557768924303,43.82470119521912,7.968127490039841,14.741035856573705
2013-04-18,27.888446215139442,12.749003984063744,8.764940239043824,32.669322709163346,77.68924302788845,,72.50996015936255,49.40239043824701,16.334661354581673,11.155378486055778
2013-04-19,76.49402390438247,94.42231075697211,70.5179282868526,68.52589641434263,72.50996015936255,,56.57370517928287,51.79282868525896,66.53386454183267,66.93227091633466
2013-04-22,54.9800796812749,62.15139442231076,84.4621513944223,86.05577689243027,56.57370517928287,,86.85258964143426,51.39442231075697,78.08764940239044,82.47011952191235
2013-04-23,74.5019920318725,78.48605577689243,95.2191235059761,42.62948207171315,76.89243027888446,,50.59760956175299,14.342629482071713,75.2988047808765,68.12749003984064
2013-04-24,32.27091633466136,58.167330677290835,43.02788844621514,97.21115537848605,91.23505976095618,,37.45019920318725,94.42231075697211,53.386454183266935,80.87649402390439
2013-04-25,70.11952191235059,90.43824701195219,81.27490039840637,66.53386454183267,84.4621513944223,,94.42231075697211,96.41434262948208,34.66135458167331,33.46613545816733
2013-04-26,63.745019920318725,85.2589641434263,5.179282868525896,40.63745019920319,47.01195219123506,,12.749003984063744,93.22709163346613,2.7888446215139444,88.44621513944223
2013-04-29,81.27490039840637,64.54183266932272,9.56175298804781,98.00796812749005,76.89243027888446,,96.01593625498008,19.9203187250996,31.07569721115538,88.44621513944223
